
34 atoms
34 bonds
57 angles
78 dihedrals
3 impropers
11 atom types
13 bond types
20 angle types
25 dihedral types
2 improper types
21.89 71.89 xlo xhi
21.01 71.01 ylo yhi
23.67 73.67 zlo zhi

Masses

1 12.011000
2 12.011000
3 12.011000
4 12.011000
5 35.453000
6 1.008000
7 1.008000
8 1.008000
9 14.007000
10 14.007000
11 15.999400

Atoms

1 1 10 -0.9215 25.0000 23.5300 24.8200
2 1 7 0.4476 25.0000 23.3900 23.8100
3 1 10 -0.9214 25.0000 26.4700 25.1800
4 1 7 0.4476 25.0000 26.6100 26.1900
5 1 4 0.1584 23.7700 24.2600 25.2400
6 1 6 0.0391 23.7200 24.2400 26.3300
7 1 6 0.0391 22.9000 23.7200 24.8500
8 1 4 0.1580 23.7700 25.7400 24.7600
9 1 6 0.0392 22.9000 26.2800 25.1500
10 1 6 0.0392 23.7200 25.7600 23.6700
11 1 4 0.1599 26.2300 25.7400 24.7600
12 1 6 0.0387 27.1000 26.2800 25.1500
13 1 6 0.1600 26.2800 25.7600 23.6700
14 1 4 0.0387 26.2300 24.2600 25.2400
15 1 6 0.0387 26.2800 24.2400 26.3300
16 1 6 0.0387 27.1000 23.7200 24.8500
17 2 3 -0.2550 25.6700 23.7700 25.0000
18 2 3 0.1383 24.2700 23.8000 25.0000
19 2 3 -0.2516 23.6000 25.0400 25.0000
20 2 3 0.1327 24.3300 26.2300 25.0000
21 2 3 -0.2506 25.7300 26.1900 25.0000
22 2 3 0.1361 26.4000 24.9700 25.0000
23 2 8 0.2248 26.2000 22.8300 25.0000
24 2 8 0.2235 22.5200 25.0500 25.0000
25 2 8 0.2241 26.2800 27.1300 25.0000
26 2 2 0.5542 23.6900 27.5700 25.0000
27 2 11 -0.4869 24.2900 28.6200 25.0000
28 2 2 0.5522 23.4200 22.5800 25.0000
29 2 11 -0.4864 22.2200 22.5800 25.0000
30 2 2 0.5528 27.8800 24.8400 25.0000
31 2 11 -0.4864 28.4900 23.8100 25.0000
32 2 5 -0.1742 28.8100 26.4000 25.0000
33 2 5 -0.1738 21.8900 27.6000 25.0000
34 2 5 -0.1741 24.3100 21.0100 25.0000

Bonds

1 11 1 2
2 9 1 5
3 9 1 14
4 11 3 4
5 9 3 8
6 9 3 11
7 10 5 6
8 10 5 7
9 7 5 8
10 10 8 9
11 10 8 10
12 10 11 12
13 10 11 13
14 7 11 14
15 10 14 15
16 10 14 16
17 5 17 18
18 5 17 22
19 6 17 23
20 5 18 19
21 4 18 28
22 5 19 20
23 6 19 24
24 5 20 21
25 4 20 26
26 5 21 22
27 6 21 25
28 4 22 30
29 12 26 27
30 13 26 33
31 12 28 29
32 13 28 34
33 12 30 31
34 13 30 32

Angles

1 16 2 1 5
2 16 2 1 14
3 15 5 1 14
4 16 4 3 8
5 16 4 3 11
6 15 8 3 11
7 11 1 5 6
8 11 1 5 7
9 8 1 5 8
10 12 6 5 7
11 9 6 5 8
12 9 7 5 8
13 8 3 8 5
14 11 3 8 9
15 11 3 8 10
16 9 5 8 9
17 9 5 8 10
18 12 9 8 10
19 11 3 11 12
20 11 3 11 13
21 8 3 11 14
22 12 12 11 13
23 9 12 11 14
24 9 13 11 14
25 8 1 14 11
26 11 1 14 15
27 11 1 14 16
28 9 11 14 15
29 9 11 14 16
30 12 15 14 16
31 5 18 17 22
32 6 18 17 23
33 6 22 17 23
34 5 17 18 19
35 4 17 18 28
36 4 19 18 28
37 5 18 19 20
38 6 18 19 24
39 6 20 19 24
40 5 19 20 21
41 4 19 20 26
42 4 21 20 26
43 5 20 21 22
44 6 20 21 25
45 6 22 21 25
46 5 17 22 21
47 4 17 22 30
48 4 21 22 30
49 17 20 26 27
50 18 20 26 33
51 19 27 26 33
52 17 18 28 29
53 18 18 28 34
54 19 29 28 34
55 17 22 30 31
56 18 22 30 32
57 19 31 30 32

Dihedrals

1 17 2 1 5 6
2 17 2 1 5 7
3 2 2 1 5 8
4 16 14 1 5 6
5 16 14 1 5 7
6 19 14 1 5 8
7 2 2 1 14 11
8 17 2 1 14 15
9 17 2 1 14 16
10 19 5 1 14 11
11 16 5 1 14 15
12 16 5 1 14 16
13 2 4 3 8 5
14 17 4 3 8 9
15 17 4 3 8 10
16 19 11 3 8 5
17 16 11 3 8 9
18 16 11 3 8 10
19 17 4 3 11 12
20 17 4 3 11 13
21 2 4 3 11 14
22 16 8 3 11 12
23 16 8 3 11 13
24 19 8 3 11 14
25 18 1 5 8 3
26 7 1 5 8 9
27 7 1 5 8 10
28 7 6 5 8 3
29 13 6 5 8 9
30 13 6 5 8 10
31 7 7 5 8 3
32 13 7 5 8 9
33 13 7 5 8 10
34 18 3 11 14 1
35 7 3 11 14 15
36 7 3 11 14 16
37 7 12 11 14 1
38 13 12 11 14 15
39 13 12 11 14 16
40 7 13 11 14 1
41 13 13 11 14 15
42 13 13 11 14 16
43 8 22 17 18 19
44 5 22 17 18 28
45 9 23 17 18 19
46 6 23 17 18 28
47 8 18 17 22 21
48 5 18 17 22 30
49 9 23 17 22 21
50 6 23 17 22 30
51 8 17 18 19 20
52 9 17 18 19 24
53 5 28 18 19 20
54 6 28 18 19 24
55 24 17 18 28 29
56 25 17 18 28 34
57 24 19 18 28 29
58 25 19 18 28 34
59 8 18 19 20 21
60 5 18 19 20 26
61 9 24 19 20 21
62 6 24 19 20 26
63 8 19 20 21 22
64 9 19 20 21 25
65 5 26 20 21 22
66 6 26 20 21 25
